City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Dikson,RU,73.5069,80.5464,6.22,95,100,15.01,overcast clouds
131,Maralal,KE,1.0968,36.698,62.13,77,100,1.32,overcast clouds
132,Shimoda,JP,34.6667,138.95,57.56,75,100,10.02,overcast clouds
133,Broken Hill,AU,-31.95,141.4333,76.91,29,0,21.18,clear sky
134,Auki,SB,-8.7676,160.7034,85.51,65,85,1.95,overcast clouds
135,Severo-Kurilsk,RU,50.6789,156.125,32.09,76,100,8.14,overcast clouds
136,Golkoy,TR,40.6875,37.6178,33.21,57,36,6.64,scattered clouds
137,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
138,Lasa,IT,46.6166,10.7002,43.68,80,33,7.05,scattered clouds
139,Kintampo,GH,8.0563,-1.7306,75.9,68,98,4.09,overcast clouds
140,Standerton,ZA,-26.9337,29.2415,50.61,95,100,4.83,overcast clouds
141,Illapel,CL,-31.6308,-71.1653,63.91,63,0,1.63,clear sky
142,Miranda,CO,3.2499,-76.2281,71.73,96,100,2.26,moderate rain
143,Hailar,CN,49.2,119.7,35.47,36,89,7.65,overcast clouds
144,Cabo San Lucas,MX,22.8909,-109.9124,87.62,44,100,10.18,overcast clouds
145,Atuona,PF,-9.8,-139.0333,79.56,78,30,16.55,scattered clouds
146,Ribeira Grande,PT,38.5167,-28.7,60.04,78,10,16.98,clear sky
147,Ballina,AU,-28.8667,153.5667,69.98,88,75,8.05,broken clouds
148,Rumoi,JP,43.9344,141.6428,48.47,56,92,14.0,overcast clouds
149,Asfi,MA,32.2994,-9.2372,66.54,57,81,13.47,broken clouds
150,Khatanga,RU,71.9667,102.5,18.19,96,98,6.38,overcast clouds
151,Maniitsoq,GL,65.4167,-52.9,20.97,69,22,10.67,few clouds
152,Guozhen,CN,34.3659,107.359,48.74,79,100,3.96,overcast clouds
153,Esperance,AU,-33.8667,121.9,60.64,71,72,14.18,broken clouds
154,Avera,US,33.194,-82.5271,66.25,90,100,1.1,overcast clouds
155,Cidreira,BR,-30.1811,-50.2056,65.79,74,99,7.52,overcast clouds
156,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,4.61,light snow
157,Coolum Beach,AU,-26.5333,153.1,72.1,81,33,11.56,scattered clouds
158,Saldanha,ZA,-33.0117,17.9442,59.05,64,0,11.43,clear sky
159,Juegang,CN,32.3174,121.1855,56.91,48,31,1.21,scattered clouds
160,Colac,AU,-38.3333,143.5833,71.17,40,98,13.98,overcast clouds
161,Gat,IL,31.61,34.7642,67.41,36,44,4.41,scattered clouds
162,New Norfolk,AU,-42.7826,147.0587,69.3,66,100,1.99,overcast clouds
163,Talnakh,RU,69.4865,88.3972,15.42,94,100,13.18,overcast clouds
164,Aanekoski,FI,62.6946,25.818,26.85,69,41,3.4,scattered clouds
165,Bourail,NC,-21.5667,165.4833,79.72,63,3,6.64,clear sky
166,Bowen,AU,-20.0167,148.2333,79.9,55,30,14.45,scattered clouds
167,El Sauzal,MX,31.9,-116.6833,63.41,75,0,16.35,clear sky
168,Ancud,CL,-41.8697,-73.8203,56.23,87,5,3.2,clear sky
169,Yining,CN,29.0361,114.5636,54.05,79,91,0.78,overcast clouds
170,Pogranichnyy,RU,44.4064,131.3769,49.41,26,31,6.6,scattered clouds
171,Tuatapere,NZ,-46.1333,167.6833,54.18,58,80,3.47,broken clouds
172,Muros,ES,42.7762,-9.0603,54.68,89,87,6.71,overcast clouds
173,Yatou,CN,37.15,122.3833,59.07,31,0,10.2,clear sky
174,Lebu,CL,-37.6167,-73.65,53.4,92,27,10.09,scattered clouds
175,Tongchuan,CN,35.0806,109.0897,47.61,64,100,3.76,overcast clouds
176,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,75,4.61,broken clouds
177,Butaritari,KI,3.0707,172.7902,81.61,77,44,12.37,scattered clouds
178,Cayenne,GF,4.9333,-52.3333,81.09,1,75,7.0,broken clouds
179,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,50,10.83,scattered clouds
180,Miles City,US,46.4083,-105.8406,34.77,60,75,17.27,broken clouds
181,Baykit,RU,61.67,96.37,38.55,98,100,4.45,overcast clouds
182,Marawi,PH,7.9986,124.2928,73.06,83,39,0.74,scattered clouds
183,Sault Sainte Marie,CA,46.5168,-84.3333,26.89,70,100,17.27,overcast clouds
184,San Francisco,US,37.7749,-122.4194,66.51,67,20,21.99,few clouds
185,Ostersund,SE,63.1792,14.6357,37.85,75,81,5.75,broken clouds
186,Tiksi,RU,71.6872,128.8694,-0.6,94,75,5.53,broken clouds
187,Faya,SA,18.3851,42.4509,64.51,44,2,5.57,clear sky
188,Bac Lieu,VN,9.285,105.7244,81.91,74,7,9.22,clear sky
189,Manoel Urbano,BR,-8.8389,-69.2597,74.3,88,83,1.1,broken clouds
190,Tonekabon,IR,36.8163,50.8738,53.55,75,76,3.0,broken clouds
191,Okha,RU,53.5739,142.9478,30.72,79,100,10.87,overcast clouds
192,Souillac,MU,-20.5167,57.5167,75.58,100,75,11.5,shower rain
193,Estevan,CA,49.1334,-102.9842,23.34,63,0,10.36,clear sky
194,Thompson,CA,55.7435,-97.8558,26.76,36,75,3.44,broken clouds
195,Tateyama,JP,34.9833,139.8667,57.09,61,100,11.23,heavy intensity rain
196,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,6.91,broken clouds
197,Tefe,BR,-3.3542,-64.7114,74.61,96,97,2.13,overcast clouds
198,Aklavik,CA,68.2191,-135.0107,14.65,75,17,12.91,few clouds
199,Lompoc,US,34.6391,-120.4579,70.02,71,20,15.01,few clouds
200,Najran,SA,17.4924,44.1277,81.25,25,45,4.07,scattered clouds
201,Suez,EG,29.9737,32.5263,70.29,17,19,2.06,few clouds
202,Amahai,ID,-3.3333,128.9167,83.77,70,91,2.37,overcast clouds
203,Astoria,US,46.1879,-123.8313,48.94,68,40,12.66,scattered clouds
204,Shakhtinsk,KZ,49.71,72.5872,53.83,30,100,5.77,overcast clouds
205,Tevaitoa,PF,-16.7833,-151.5,81.23,73,8,12.03,clear sky
206,Kanigoro,ID,-8.13,112.219,77.54,84,88,2.28,light rain
207,Mbini,GQ,1.574,9.6134,78.67,85,99,3.62,overcast clouds
208,Corning,US,42.1428,-77.0547,43.21,81,75,6.91,broken clouds
209,Thinadhoo,MV,0.5333,72.9333,83.43,68,53,8.79,broken clouds
210,Port Said,EG,31.2565,32.2841,64.38,82,0,12.66,clear sky
211,Ambunti,PG,-4.2365,142.8448,84.74,73,77,1.43,broken clouds
212,Svetlogorsk,BY,52.6333,29.7333,34.38,96,100,13.13,overcast clouds
213,Entre Rios,BR,-11.9419,-38.0844,73.38,97,43,3.85,scattered clouds
214,Ayni,TJ,39.3941,68.5377,60.42,59,100,3.78,overcast clouds
215,Scottsboro,US,34.6723,-86.0341,68.09,100,0,0.0,clear sky
216,Poya,NC,-21.35,165.15,80.71,64,3,6.87,clear sky
217,Ossora,RU,59.2353,163.0719,30.18,73,100,4.23,overcast clouds
218,Hafizabad,PK,32.0679,73.6854,73.4,35,42,5.86,scattered clouds
219,Donetsk,UA,48.0,37.8,47.14,74,100,5.88,overcast clouds
220,Bozuyuk,TR,39.9078,30.0367,52.34,60,47,3.85,scattered clouds
221,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,71,0,11.5,clear sky
222,Lavrentiya,RU,65.5833,-171.0,30.45,94,99,10.09,light snow
223,Ilulissat,GL,69.2167,-51.1,-5.49,93,9,5.23,clear sky
224,Boyolangu,ID,-8.1181,111.8935,78.69,84,85,0.6,overcast clouds
225,Chokurdakh,RU,70.6333,147.9167,2.64,92,88,2.66,overcast clouds
226,Ulu-Telyak,RU,54.9086,56.9669,28.2,91,54,2.06,broken clouds
227,Batemans Bay,AU,-35.7167,150.1833,67.1,55,9,5.88,clear sky
228,Dzaoudzi,YT,-12.7887,45.2699,82.29,83,0,11.5,clear sky
229,Beringovskiy,RU,63.05,179.3167,31.64,98,100,19.22,snow
230,Ahipara,NZ,-35.1667,173.1667,68.4,69,100,15.48,overcast clouds
231,Chernyshevsk,RU,52.5243,117.0174,32.41,43,87,2.89,overcast clouds
232,Rajapur,IN,25.3833,81.15,82.94,15,0,4.34,clear sky
233,Noumea,NC,-22.2763,166.4572,82.99,99,0,10.8,clear sky
234,Husavik,IS,66.0449,-17.3389,42.31,86,100,11.95,overcast clouds
235,Beloha,MG,-25.1667,45.05,72.3,94,21,7.61,few clouds
236,Intipuca,SV,13.1969,-88.0544,82.83,70,78,8.08,broken clouds
237,Cockburn Town,TC,21.4612,-71.1419,77.56,84,99,23.04,overcast clouds
238,Bossangoa,CF,6.4926,17.4552,76.46,63,36,2.39,scattered clouds
239,Anadyr,RU,64.75,177.4833,34.3,74,40,8.95,scattered clouds
240,Gwadar,PK,25.1216,62.3254,81.05,71,14,8.5,few clouds
241,Garden City,US,42.3256,-83.331,39.88,58,75,20.71,broken clouds
242,Katobu,ID,-4.9408,122.5276,80.71,85,82,2.71,broken clouds
243,Russell,US,32.3502,-85.1999,69.4,88,75,3.44,light rain
244,Kyra,RU,49.5776,111.9753,37.98,56,50,4.63,scattered clouds
245,Mansa,IN,29.9833,75.3833,77.94,19,18,5.91,few clouds
246,Rodrigues Alves,BR,-7.738,-72.6509,73.72,92,27,1.39,scattered clouds
247,Bulri,PK,24.8667,68.3333,78.37,86,33,14.74,scattered clouds
248,Jalu,LY,29.0331,21.5482,71.94,34,66,14.97,broken clouds
249,Kirksville,US,40.1948,-92.5833,49.05,35,0,10.36,clear sky
250,Si Racha,TH,13.1737,100.9311,88.03,72,66,7.23,broken clouds
251,Abu Road,IN,24.4833,72.7833,74.97,69,0,4.47,clear sky
252,Yamada,JP,39.4667,141.95,50.61,50,1,5.44,clear sky
253,Katangli,RU,51.7102,143.2326,30.67,89,100,14.27,overcast clouds
254,Vilcun,CL,-38.65,-72.2333,52.84,76,17,2.15,few clouds
255,Meru,KE,0.0463,37.6559,62.78,83,100,2.26,overcast clouds
256,Raudeberg,NO,61.9875,5.1352,44.87,71,100,11.07,overcast clouds
257,Hithadhoo,MV,-0.6,73.0833,83.21,64,85,7.0,overcast clouds
258,Lucea,JM,18.451,-78.1736,69.66,76,12,4.92,light rain
259,Victoria,HK,22.2855,114.1577,72.18,82,100,11.01,overcast clouds
260,Cuajinicuilapa,MX,16.4667,-98.4167,85.93,47,22,8.23,few clouds
261,Bay Saint Louis,US,30.3088,-89.33,82.47,73,0,5.75,clear sky
262,Lar,IN,26.2039,83.9717,81.88,14,11,1.36,few clouds
263,Haines Junction,CA,60.7522,-137.5108,40.95,36,100,5.75,overcast clouds
264,Wattegama,LK,6.7989,81.4808,74.62,97,74,3.71,broken clouds
265,Fort Nelson,CA,58.8053,-122.7002,18.99,79,100,14.97,light snow
266,Antalaha,MG,-14.9003,50.2788,72.54,85,0,6.71,clear sky
267,Khorramshahr,IR,30.4397,48.1664,73.36,28,0,11.5,clear sky
268,Honningsvag,NO,70.9821,25.9704,38.95,87,100,33.38,overcast clouds
269,Plyussa,RU,58.4308,29.3654,27.48,86,74,3.89,broken clouds
270,Port-Gentil,GA,-0.7193,8.7815,81.01,80,100,5.14,light rain
271,Kavieng,PG,-2.5744,150.7967,83.79,74,36,9.82,light rain
272,Doha,QA,25.2867,51.5333,80.58,45,0,11.5,clear sky
273,Pisco,PE,-13.7,-76.2167,65.01,82,0,17.27,clear sky
274,Fairbanks,US,64.8378,-147.7164,35.56,32,0,14.97,clear sky
275,Carballo,ES,43.213,-8.691,56.55,90,80,3.02,broken clouds
276,Vardo,NO,70.3705,31.1107,38.75,83,100,28.07,overcast clouds
277,Ketchikan,US,55.3422,-131.6461,50.47,25,20,0.0,few clouds
278,Bongandanga,CD,1.5,21.05,71.42,90,86,2.77,overcast clouds
279,Hermagor,AT,46.6272,13.3672,35.1,85,8,5.7,clear sky
280,Chuy,UY,-33.6971,-53.4616,59.61,82,38,6.58,scattered clouds
281,Coihaique,CL,-45.5752,-72.0662,46.35,81,0,4.61,clear sky
282,Faanui,PF,-16.4833,-151.75,81.37,72,7,12.37,clear sky
283,Port Keats,AU,-14.25,129.55,84.09,66,28,8.32,scattered clouds
284,Skovorodino,RU,53.9833,123.9167,32.31,41,26,7.0,scattered clouds
