City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Bairiki,KI,81.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
73,Lamont,US,73.67,scattered clouds,35.2597,-118.9143,Buena Vista Mobile Home Park
74,Puerto Ayora,EC,75.94,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Kruisfontein,ZA,58.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
76,Pacific Grove,US,63.01,overcast clouds,36.6177,-121.9166,Lovers Point Inn
78,Tukrah,LY,61.79,overcast clouds,32.5341,20.5791,Lagrota restaurant
80,Bibiani,GH,71.47,overcast clouds,6.4635,-2.3194,Rodick Hotel
81,Bengkulu,ID,78.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Maumere,ID,82.72,overcast clouds,-8.6199,122.2111,Sylvia Hotel
85,Puerto Maldonado,PE,75.6,broken clouds,-12.6,-69.1833,Wasai Hotel
86,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
87,Rikitea,PF,78.64,light rain,-23.1203,-134.9692,People ThankYou
88,Harper,LR,78.24,moderate rain,4.375,-7.7169,Screensaver
91,Luwuk,ID,81.73,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
93,Arraial Do Cabo,BR,73.29,clear sky,-22.9661,-42.0278,Pousada Porto Praia
94,Busselton,AU,59.2,few clouds,-33.65,115.3333,Observatory Guest House
95,Basirhat,IN,80.58,scattered clouds,22.6685,88.8697,BESIDE BASIRHAT COLLEGE & KALI MANDIR
96,Methoni,GR,64.26,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
98,Lorengau,PG,84.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
100,Mecca,SA,80.69,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
